User_ID,Recommended_User,Compatibility,Feedback,Updated_Compatibility
U035,U011,66.45,0,61.45
U035,U015,65.31,0,60.31
U035,U008,59.84,1,64.84
U035,U048,40.75,0,35.75
U036,U068,56.02,0,51.02
U036,U001,55.4,0,50.4
U036,U044,51.87,0,46.87
U036,U020,45.38,1,50.38
U036,U002,44.02,1,49.02
U037,U051,64.97,1,69.97
U037,U024,63.64,1,68.64
U037,U085,53.34,1,58.34
U037,U072,50.33,0,45.33
U037,U073,38.95,0,33.95
U038,U087,61.68,1,66.68
U038,U006,59.71,1,64.71000000000001
U038,U075,47.94,1,52.94
U038,U054,47.39,0,42.39
U038,U002,43.45,0,38.45
U039,U084,63.76,0,58.76
U039,U091,62.39,0,57.39
U039,U029,58.83,0,53.83
U039,U076,54.12,1,59.12
U039,U096,32.85,0,27.85
U040,U099,76.1,1,81.1
U040,U089,72.66,0,67.66
U040,U031,61.6,1,66.6
U040,U092,57.77,1,62.77
U040,U019,56.71,0,51.71
U041,U096,54.81,1,59.81
U041,U020,51.89,0,46.89
U041,U087,49.12,1,54.12
U041,U056,48.0,1,53.0
U041,U043,44.3,1,49.3
U042,U059,59.9,1,64.9
U042,U070,57.24,1,62.24
U042,U022,48.5,1,53.5
U042,U045,45.41,0,40.41
U042,U061,43.04,0,38.04
U043,U096,69.71,1,74.71
U043,U056,53.1,0,48.1
U043,U020,52.69,1,57.69
U043,U041,44.3,1,49.3
U043,U068,38.78,0,33.78
U044,U001,57.85,0,52.85
U044,U036,51.87,1,56.87
U044,U068,50.34,0,45.34
U044,U075,47.85,0,42.85
U044,U002,45.42,1,50.42
U045,U009,70.06,1,75.06
U045,U093,60.16,1,65.16
U045,U066,55.45,0,50.45
U045,U098,50.63,1,55.63
U045,U053,50.33,0,45.33
U046,U005,65.55,0,60.55
U046,U058,60.36,1,65.36
U046,U090,59.96,0,54.96
U046,U064,52.84,0,47.84
U046,U036,34.73,1,39.73
U047,U034,62.67,0,57.67
U047,U060,56.48,1,61.48
U047,U073,49.73,0,44.73
U047,U013,45.38,1,50.38
U047,U014,44.98,1,49.98
U048,U034,58.84,1,63.84
U048,U081,56.03,1,61.03
U048,U060,49.92,0,44.92
U048,U014,44.0,0,39.0
U048,U073,43.58,1,48.58
U049,U004,66.97,0,61.97
U049,U062,63.33,1,68.33
U049,U031,60.2,1,65.2
U049,U063,53.68,0,48.68
U049,U007,48.4,0,43.4
U050,U030,78.25,0,73.25
U050,U095,66.77,1,71.77
U050,U021,54.72,0,49.72
U050,U023,49.12,1,54.12
U050,U031,40.62,1,45.62
U051,U072,66.82,0,61.81999999999999
U051,U037,64.97,1,69.97
U051,U085,56.21,1,61.21
U051,U024,47.31,1,52.31
U051,U096,37.94,1,42.94
U052,U032,64.37,0,59.370000000000005
U052,U016,57.03,0,52.03
U052,U017,49.64,1,54.64
U052,U026,48.7,0,43.7
U052,U068,43.99,0,38.99
U053,U007,59.66,0,54.66
U053,U098,54.86,0,49.86
U053,U071,51.17,1,56.17
U053,U045,50.33,0,45.33
U053,U093,47.87,1,52.87
U054,U006,66.58,0,61.58
U054,U087,65.14,1,70.14
U054,U075,52.11,0,47.11
U054,U038,47.39,0,42.39
U054,U026,43.17,0,38.17
U055,U009,58.56,1,63.56
U055,U093,54.69,1,59.69
U055,U061,47.5,0,42.5
U055,U045,47.0,0,42.0
U055,U071,44.16,1,49.16
U056,U020,69.77,1,74.77
U056,U043,53.1,1,58.1
U056,U096,48.62,1,53.62
U056,U041,48.0,0,43.0
U056,U089,45.23,0,40.23
U057,U033,65.3,1,70.3
U057,U073,57.14,1,62.14
U057,U014,57.04,0,52.04
U057,U013,55.63,1,60.63
U057,U081,49.82,1,54.82
U058,U005,67.65,1,72.65
U058,U046,60.36,0,55.36
U058,U064,50.81,1,55.81
U058,U090,49.41,1,54.41
U058,U018,44.51,1,49.51
U059,U061,66.32,1,71.32
U059,U070,62.19,1,67.19
U059,U042,59.9,1,64.9
U059,U022,47.5,1,52.5
U059,U066,42.32,1,47.32
U060,U081,59.19,1,64.19
U060,U047,56.48,1,61.48
U060,U033,55.08,0,50.08
U060,U048,49.92,0,44.92
U060,U034,47.39,0,42.39
U061,U059,66.32,1,71.32
U061,U070,64.68,1,69.68
U061,U055,47.5,0,42.5
U061,U022,46.47,0,41.47
U061,U009,45.17,0,40.17
U062,U063,66.97,0,61.97
U062,U049,63.33,1,68.33
U062,U004,59.82,0,54.82
U062,U031,53.52,1,58.52
U062,U086,49.52,0,44.52
U063,U062,66.97,0,61.97
U063,U004,62.63,1,67.63
U063,U031,55.77,0,50.77
U063,U049,53.68,0,48.68
U063,U067,44.78,0,39.78
U064,U005,72.5,1,77.5
U064,U090,67.6,0,62.599999999999994
U064,U046,52.84,0,47.84
U064,U058,50.81,1,55.81
U064,U044,30.6,1,35.6
U065,U025,66.23,1,71.23
U065,U027,63.07,1,68.07
U065,U079,60.65,0,55.65
U065,U100,55.66,0,50.66
U065,U054,33.32,0,28.32
U066,U093,62.69,1,67.69
U066,U009,57.74,0,52.74
U066,U045,55.45,0,50.45
U066,U098,49.48,0,44.48
U066,U083,47.58,0,42.58
U067,U080,55.94,0,50.94
U067,U010,54.01,0,49.01
U067,U088,53.52,1,58.52
U067,U019,47.41,0,42.41
U067,U063,44.78,1,49.78
U068,U036,56.02,0,51.02
U068,U044,50.34,0,45.34
U068,U052,43.99,1,48.99
U068,U001,43.73,0,38.73
U068,U032,43.65,1,48.65
U069,U074,64.33,1,69.33
U069,U097,64.28,1,69.28
U069,U018,60.9,1,65.9
U069,U003,57.42,0,52.42
U069,U048,39.22,1,44.22
U070,U061,64.68,1,69.68
U070,U059,62.19,1,67.19
U070,U042,57.24,0,52.24
U070,U022,48.29,0,43.29
U070,U045,46.96,0,41.96
U071,U098,57.5,1,62.5
U071,U086,56.01,0,51.01
U071,U093,51.33,1,56.33
U071,U053,51.17,1,56.17
U071,U022,49.84,1,54.84
U072,U051,66.82,1,71.82
U072,U085,52.01,1,57.01
U072,U037,50.33,0,45.33
U072,U024,42.04,0,37.04
U072,U096,41.21,1,46.21
U073,U033,59.94,1,64.94
U073,U014,59.13,0,54.13
U073,U057,57.14,1,62.14
U073,U013,54.34,1,59.34
U073,U047,49.73,0,44.73
U074,U018,69.62,1,74.62
U074,U097,67.71,0,62.709999999999994
U074,U003,66.29,0,61.290000000000006
U074,U069,64.33,1,69.33
U074,U078,38.16,1,43.16
U075,U006,54.35,1,59.35
U075,U054,52.11,1,57.11
U075,U087,51.06,1,56.06
U075,U038,47.94,1,52.94
U075,U044,47.85,1,52.85
U076,U029,54.87,1,59.87
U076,U039,54.12,1,59.12
U076,U084,47.86,0,42.86
U076,U091,47.24,1,52.24
U076,U098,33.39,0,28.39
U077,U082,75.94,1,80.94
U077,U083,64.75,0,59.75
U077,U094,61.48,0,56.48
U077,U028,57.21,1,62.21
U077,U009,48.12,0,43.12
U078,U035,67.79,1,72.79
U078,U011,67.23,0,62.230000000000004
U078,U015,66.81,1,71.81
U078,U008,65.51,1,70.51
U078,U074,38.16,0,33.16
U079,U100,69.74,1,74.74
U079,U027,63.87,1,68.87
U079,U065,60.65,1,65.65
U079,U025,52.22,1,57.22
U079,U012,36.47,0,31.47
U080,U010,60.11,1,65.11
U080,U067,55.94,0,50.94
U080,U088,54.0,0,49.0
U080,U019,52.85,1,57.85
U080,U012,46.57,0,41.57
U081,U060,59.19,1,64.19
U081,U048,56.03,1,61.03
U081,U014,52.74,1,57.74
U081,U033,49.96,0,44.96
U081,U057,49.82,1,54.82
U082,U077,75.94,1,80.94
U082,U028,66.2,0,61.2
U082,U083,63.88,1,68.88
U082,U094,57.09,1,62.09
U082,U066,43.92,0,38.92
U083,U077,64.75,1,69.75
U083,U082,63.88,1,68.88
U083,U028,57.37,1,62.37
U083,U094,51.61,1,56.61
U083,U093,49.01,1,54.01
U084,U039,63.76,1,68.75999999999999
U084,U091,60.04,0,55.04
U084,U029,57.56,1,62.56
U084,U076,47.86,1,52.86
U084,U027,39.58,0,34.58
U085,U024,61.45,1,66.45
U085,U051,56.21,0,51.21
U085,U037,53.34,1,58.34
U085,U072,52.01,1,57.01
U085,U057,46.3,1,51.3
U086,U007,63.39,0,58.39
U086,U071,56.01,0,51.01
U086,U098,53.28,0,48.28
U086,U062,49.52,1,54.52
U086,U049,47.31,1,52.31
U087,U006,76.24,0,71.24
U087,U054,65.14,0,60.14
U087,U038,61.68,0,56.68
U087,U075,51.06,1,56.06
U087,U041,49.12,1,54.12
U088,U019,67.32,1,72.32
U088,U010,61.36,0,56.36
U088,U080,54.0,0,49.0
U088,U067,53.52,1,58.52
U088,U040,53.32,0,48.32
U089,U099,77.12,1,82.12
U089,U040,72.66,0,67.66
U089,U092,56.92,1,61.92
U089,U012,52.21,0,47.21
U089,U031,50.49,1,55.49
U090,U005,71.66,1,76.66
U090,U064,67.6,1,72.6
U090,U046,59.96,1,64.96000000000001
U090,U058,49.41,1,54.41
U090,U079,36.03,1,41.03
U091,U039,62.39,1,67.39
U091,U084,60.04,0,55.04
U091,U029,56.98,0,51.98
U091,U076,47.24,0,42.24
U091,U002,35.2,0,30.200000000000003
U092,U099,62.99,1,67.99000000000001
U092,U012,62.36,0,57.36
U092,U040,57.77,0,52.77
U092,U089,56.92,1,61.92
U092,U019,49.76,0,44.76
U093,U066,62.69,0,57.69
U093,U098,60.5,0,55.5
U093,U045,60.16,0,55.16
U093,U009,58.71,1,63.71
U093,U055,54.69,0,49.69
U094,U077,61.48,1,66.47999999999999
U094,U082,57.09,0,52.09
U094,U083,51.61,0,46.61
U094,U028,50.86,1,55.86
U094,U009,49.01,1,54.01
U095,U030,69.46,0,64.46
U095,U050,66.77,1,71.77
U095,U023,62.86,1,67.86
U095,U021,51.54,1,56.54
U095,U049,40.73,0,35.73
U096,U043,69.71,1,74.71
U096,U041,54.81,1,59.81
U096,U020,48.88,0,43.88
U096,U056,48.62,1,53.62
U096,U030,43.16,0,38.16
U097,U074,67.71,1,72.71
U097,U018,64.98,1,69.98
U097,U069,64.28,1,69.28
U097,U003,59.5,0,54.5
U097,U050,40.52,0,35.52
U098,U093,60.5,1,65.5
U098,U071,57.5,1,62.5
U098,U053,54.86,0,49.86
U098,U086,53.28,1,58.28
U098,U045,50.63,0,45.63
U099,U089,77.12,0,72.12
U099,U040,76.1,0,71.1
U099,U092,62.99,1,67.99000000000001
U099,U012,62.5,1,67.5
U099,U019,57.84,0,52.84
U100,U027,80.4,1,85.4
U100,U079,69.74,1,74.74
U100,U065,55.66,1,60.66
U100,U025,55.15,1,60.15
U100,U084,38.72,1,43.72
